         505017 function calls (481555 primitive calls) in 84.998 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        6    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        2    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.000    0.000 reduction.py:1(<module>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       42    0.000    0.000    0.000    0.000 _weakrefset.py:27(__exit__)
        2    0.000    0.000    0.000    0.000 ffmpeg_reader.py:319(get_tbr)
        1    0.000    0.000    0.000    0.000 <decorator-gen-36>:1(subclip)
       12    0.000    0.000    0.000    0.000 {built-in method _io.open}
        6    0.000    0.000    0.000    0.000 subprocess.py:1147(_get_devnull)
      667    0.000    0.000    0.000    0.000 utils.py:112(__format__)
        5    0.000    0.000    0.000    0.000 threading.py:869(__init__)
        6    0.000    0.000    0.000    0.000 contextlib.py:571(__exit__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
        4    0.000    0.000    0.000    0.000 Clip.py:58(copy)
        1    0.000    0.000    0.000    0.000 <decorator-gen-35>:1(subclip)
        1    0.000    0.000    0.000    0.000 decorators.py:24(apply_to_mask)
        6    0.000    0.000    0.000    0.000 {built-in method nt.open}
        1    0.000    0.000    0.000    0.000 <decorator-gen-34>:1(subclip)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      667    0.000    0.000    0.000    0.000 std.py:167(colour)
        1    0.000    0.000    0.000    0.000 decorators.py:36(apply_to_audio)
        2    0.000    0.000    0.000    0.000 Clip.py:354(subclip)
       10    0.000    0.000    0.000    0.000 copy.py:62(copy)
        2    0.000    0.000    0.000    0.000 Clip.py:153(fl_time)
        1    0.000    0.000    0.000    0.000 function_base.py:25(linspace)
       24    0.000    0.000    0.000    0.000 shape_base.py:80(atleast_2d)
        1    0.000    0.000    0.000    0.000 process.py:1(<module>)
       24    0.000    0.000    0.000    0.000 contextlib.py:534(callback)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       42    0.000    0.000    0.000    0.000 _weakrefset.py:53(_commit_removals)
        2    0.000    0.000    0.000    0.000 std.py:686(_decr_instances)
       16    0.000    0.000    0.000    0.000 std.py:110(__enter__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      667    0.000    0.000    0.000    0.000 utils.py:108(__init__)
        5    0.000    0.000    0.000    0.000 threading.py:620(set)
        5    0.000    0.000    0.000    0.000 _compiler.py:514(_compile_info)
        2    0.000    0.000    0.000    0.000 std.py:663(__new__)
       12    0.000    0.000    0.000    0.000 contextlib.py:145(__exit__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
       25    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
       24    0.000    0.000    0.000    0.000 contextlib.py:481(_exit_wrapper)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
        4    0.000    0.000    0.000    0.000 std.py:1286(fp_write)
       17    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
       24    0.000    0.000    0.000    0.000 shape_base.py:216(_vhstack_dispatcher)
       16    0.000    0.000    0.000    0.000 std.py:113(__exit__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
       26    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        2    0.000    0.000    0.000    0.000 _local.py:227(__str__)
       23    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
        1    0.000    0.000    0.000    0.000 synchronize.py:193(__init__)
      667    0.000    0.000    0.000    0.000 std.py:163(colour)
        1    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
        5    0.000    0.000    0.000    0.000 threading.py:428(notify_all)
      101    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       18    0.000    0.000    0.000    0.000 subprocess.py:1426(_make_inheritable)
       12    0.000    0.000    0.000    0.000 contextlib.py:303(helper)
        2    0.000    0.000    0.000    0.000 std.py:679(_get_free_pos)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.000    0.000 _monitor.py:30(__init__)
        2    0.000    0.000    0.000    0.000 std.py:1402(set_postfix)
      114    0.000    0.000    0.000    0.000 _parser.py:167(__getitem__)
        5    0.000    0.000    0.000    0.000 threading.py:398(notify)
        1    0.000    0.000    0.000    0.000 _local.py:289(drive)
       42    0.000    0.000    0.000    0.000 _weakrefset.py:21(__enter__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       91    0.000    0.000    0.000    0.000 <frozen os>:855(fsdecode)
        1    0.000    0.000    0.000    0.000 synchronize.py:121(_make_name)
        2    0.000    0.000    0.000    0.000 __init__.py:49(create_string_buffer)
        1    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
        7    0.000    0.000    0.000    0.000 copy.py:248(_reconstruct)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
     20/8    0.000    0.000    0.000    0.000 _parser.py:177(getwidth)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
        8    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
       24    0.000    0.000    0.000    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
       83    0.000    0.000    0.000    0.000 _parser.py:260(get)
       80    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      217    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      187    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
        5    0.000    0.000    0.000    0.000 enum.py:1603(__and__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:177(_path_isabs)
        6    0.000    0.000    0.000    0.000 threading.py:592(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:213(__init__)
       12    0.000    0.000    0.000    0.000 contextlib.py:108(__init__)
       64    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
       44    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        8    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        7    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
       19    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        5    0.000    0.000    0.000    0.000 proglog.py:410(default_bar_logger)
        7    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       18    0.000    0.000    0.000    0.000 {built-in method _winapi.DuplicateHandle}
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedWriter' objects}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
