         8381846 function calls (8245540 primitive calls) in 14.821 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      136    0.000    0.000    0.027    0.000 jsinterp.py:199(__init__)
   138215    0.027    0.000    0.027    0.000 {method 'values' of 'dict' objects}
      100    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      100    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       89    0.027    0.000    0.027    0.000 {built-in method marshal.loads}
    30428    0.011    0.000    0.025    0.000 parse.py:692(unquote)
        1    0.000    0.000    0.025    0.025 _tab.py:972(YoutubeTabIE)
      186    0.002    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
    63248    0.017    0.000    0.025    0.000 _parser.py:255(match)
12803/12797    0.008    0.000    0.024    0.000 {method 'extend' of 'list' objects}
   109332    0.024    0.000    0.024    0.000 {method 'get' of 'dict' objects}
      145    0.000    0.000    0.023    0.000 __init__.py:174(search)
        1    0.000    0.000    0.023    0.023 minicurses.py:1(<module>)
      146    0.001    0.000    0.022    0.000 _utils.py:990(__msg)
   169641    0.022    0.000    0.022    0.000 {built-in method builtins.ord}
    52337    0.015    0.000    0.022    0.000 _parser.py:163(__len__)
        1    0.000    0.000    0.022    0.022 dash.py:1(<module>)
    27426    0.008    0.000    0.021    0.000 _utils.py:4818(remove_terminal_sequences)
   107076    0.021    0.000    0.021    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.021    0.021 external.py:1(<module>)
        1    0.000    0.000    0.021    0.021 fragment.py:1(<module>)
        1    0.000    0.000    0.020    0.020 aes.py:1(<module>)
     5063    0.006    0.000    0.020    0.000 __init__.py:1021(get)
        1    0.000    0.000    0.019    0.019 traversal.py:1(<module>)
        6    0.000    0.000    0.019    0.003 response.py:469(_decode)
       12    0.002    0.000    0.019    0.002 response.py:122(decompress)
        1    0.000    0.000    0.018    0.018 http.py:1(<module>)
       29    0.000    0.000    0.017    0.001 common.py:1309(_search_regex)
        1    0.000    0.000    0.017    0.017 YoutubeDL.py:2743(sort_formats)
21843/21842    0.009    0.000    0.017    0.000 {built-in method builtins.any}
     9266    0.005    0.000    0.017    0.000 _compiler.py:401(_simple)
6319/6316    0.006    0.000    0.017    0.000 traversal.py:292(<genexpr>)
     2005    0.006    0.000    0.017    0.000 enum.py:1603(__and__)
        6    0.017    0.003    0.017    0.003 {method 'decompress' of 'zlib.Decompress' objects}
    20701    0.006    0.000    0.016    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.016    0.016 _utils.py:1(<module>)
    29524    0.011    0.000    0.016    0.000 _parser.py:292(tell)
       19    0.000    0.000    0.016    0.001 {method 'sort' of 'list' objects}
       43    0.000    0.000    0.015    0.000 _utils.py:5616(calculate_preference)
      946    0.000    0.000    0.015    0.000 _utils.py:5618(<genexpr>)
65830/65757    0.014    0.000    0.014    0.000 {method 'encode' of 'str' objects}
      896    0.003    0.000    0.014    0.000 jsinterp.py:377(_dump)
      903    0.001    0.000    0.014    0.000 _utils.py:5568(_calculate_field_preference)
       13    0.000    0.000    0.014    0.001 YoutubeDL.py:1480(prepare_filename)
    32326    0.014    0.000    0.014    0.000 {method 'group' of 're.Match' objects}
12012/12007    0.008    0.000    0.013    0.000 _utils.py:2667(try_call)
        2    0.000    0.000    0.013    0.006 common.py:1344(_search_json)
      107    0.000    0.000    0.013    0.000 __init__.py:299(loads)
    67320    0.012    0.000    0.012    0.000 {method 'startswith' of 'str' objects}
        2    0.012    0.006    0.012    0.006 {method 'connect' of '_socket.socket' objects}
       13    0.000    0.000    0.012    0.001 YoutubeDL.py:1449(_prepare_filename)
     5167    0.006    0.000    0.012    0.000 __init__.py:1033(__contains__)
    62139    0.012    0.000    0.012    0.000 {method 'replace' of 'str' objects}
      903    0.002    0.000    0.012    0.000 _utils.py:5539(_calculate_field_preference_from_value)
        6    0.000    0.000    0.012    0.002 common.py:1080(_parse_json)
      107    0.011    0.000    0.011    0.000 decoder.py:351(raw_decode)
       15    0.000    0.000    0.011    0.001 YoutubeDL.py:1445(evaluate_outtmpl)
      539    0.011    0.000    0.011    0.000 {method 'search' of 're.Pattern' objects}
    12403    0.006    0.000    0.011    0.000 {built-in method builtins.next}
        6    0.000    0.000    0.011    0.002 _utils.py:560(decode)
        1    0.000    0.000    0.011    0.011 _base.py:618(extract_yt_initial_data)
      429    0.011    0.000    0.011    0.000 {built-in method nt.stat}
       26    0.000    0.000    0.011    0.000 _utils.py:2549(parse_qs)
      898    0.001    0.000    0.011    0.000 __init__.py:183(dumps)
    10698    0.011    0.000    0.011    0.000 {method 'finditer' of 're.Pattern' objects}
      411    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     6124    0.004    0.000    0.010    0.000 traversal.py:113(<lambda>)
       15    0.001    0.000    0.010    0.001 YoutubeDL.py:1214(prepare_outtmpl)
     4240    0.007    0.000    0.010    0.000 _compiler.py:214(_compile_charset)
    20701    0.008    0.000    0.010    0.000 {built-in method _abc._abc_instancecheck}
    37337    0.010    0.000    0.010    0.000 {method 'decode' of 'bytes' objects}
      942    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
     1099    0.005    0.000    0.009    0.000 YoutubeDL.py:3978(_row)
     3008    0.005    0.000    0.009    0.000 _parser.py:85(opengroup)
     2180    0.002    0.000    0.009    0.000 parse.py:682(_generate_unquoted_parts)
      898    0.003    0.000    0.009    0.000 encoder.py:183(encode)
    55074    0.009    0.000    0.009    0.000 {built-in method builtins.min}
       43    0.000    0.000    0.009    0.000 YoutubeDL.py:2595(_calc_headers)
    32162    0.009    0.000    0.009    0.000 {method 'rstrip' of 'bytes' objects}
     1474    0.004    0.000    0.009    0.000 parse.py:374(urlparse)
    10717    0.006    0.000    0.009    0.000 _parser.py:171(__setitem__)
        1    0.000    0.000    0.008    0.008 _video.py:2456(_extract_heatmap)
     1044    0.002    0.000    0.008    0.000 parse.py:525(urlunparse)
  426/418    0.000    0.000    0.008    0.000 traversal.py:180(<genexpr>)
     1851    0.006    0.000    0.008    0.000 YoutubeDL.py:863(add_info_extractor)
        1    0.000    0.000    0.008    0.008 YoutubeDL.py:2249(build_format_selector)
        4    0.000    0.000    0.008    0.002 common.py:1(<module>)
      889    0.001    0.000    0.008    0.000 YoutubeDL.py:1076(_format_out)
     2850    0.005    0.000    0.008    0.000 _parser.py:273(getuntil)
        6    0.000    0.000    0.007    0.001 sessions.py:457(prepare_request)
        1    0.000    0.000    0.007    0.007 dbapi2.py:1(<module>)
      279    0.001    0.000    0.007    0.000 _utils.py:5436(_resolve_field_value)
    12041    0.005    0.000    0.007    0.000 traversal.py:239(lazy_last)
      545    0.004    0.000    0.007    0.000 parse.py:651(_unquote_impl)
        7    0.000    0.000    0.007    0.001 YoutubeDL.py:3969(render_thumbnails_table)
     6018    0.004    0.000    0.007    0.000 enum.py:1585(_get_value)
