         4409 function calls (4402 primitive calls) in 1.123 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 traversal.py:292(<genexpr>)
        1    0.000    0.000    0.000    0.000 parse.py:525(urlunparse)
        2    0.000    0.000    0.000    0.000 cookiejar.py:81(_timegm)
        1    0.000    0.000    0.000    0.000 response.py:256(get)
       15    0.000    0.000    0.000    0.000 util.py:19(to_str)
        1    0.000    0.000    0.000    0.000 utils.py:539(get_encoding_from_headers)
        1    0.000    0.000    0.000    0.000 decoder.py:340(decode)
        1    0.000    0.000    0.000    0.000 connection.py:93(_set_socket_options)
        1    0.000    0.000    0.000    0.000 sessions.py:159(resolve_redirects)
        5    0.000    0.000    0.000    0.000 structures.py:57(__iter__)
        1    0.000    0.000    0.000    0.000 message.py:243(get_payload)
        3    0.000    0.000    0.000    0.000 _collections.py:82(__init__)
        2    0.000    0.000    0.000    0.000 typing.py:1665(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 models.py:630(prepare_hooks)
        1    0.000    0.000    0.000    0.000 queue.py:180(get)
        2    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        8    0.000    0.000    0.000    0.000 openai_object.py:48(__setattr__)
        2    0.000    0.000    0.000    0.000 timeout.py:188(clone)
        5    0.000    0.000    0.000    0.000 connection.py:163(host)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1227(deepvalues)
        9    0.000    0.000    0.000    0.000 platform.py:337(<genexpr>)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 socket.py:782(close)
       14    0.000    0.000    0.000    0.000 message.py:515(set_raw)
        4    0.000    0.000    0.000    0.000 _utils.py:2654(is_iterable_like)
        1    0.000    0.000    0.000    0.000 api_requestor.py:129(__init__)
       12    0.000    0.000    0.000    0.000 threading.py:318(_is_owned)
        1    0.000    0.000    0.000    0.000 utils.py:774(get_proxy)
        1    0.000    0.000    0.000    0.000 models.py:207(register_hook)
        2    0.000    0.000    0.000    0.000 cookies.py:542(merge_cookies)
        3    0.000    0.000    0.000    0.000 _requests.py:97(subn)
        2    0.000    0.000    0.000    0.000 parse.py:413(_splitnetloc)
       12    0.000    0.000    0.000    0.000 threading.py:303(__enter__)
        4    0.000    0.000    0.000    0.000 message.py:29(_splitparam)
        1    0.000    0.000    0.000    0.000 __init__.py:1509(info)
        2    0.000    0.000    0.000    0.000 calendar.py:689(timegm)
        3    0.000    0.000    0.000    0.000 util.py:33(from_str)
       35    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        4    0.000    0.000    0.000    0.000 parse.py:205(_hostinfo)
        5    0.000    0.000    0.000    0.000 platform.py:662(<genexpr>)
        8    0.000    0.000    0.000    0.000 enum.py:1152(__new__)
        8    0.000    0.000    0.000    0.000 _utils.py:2667(try_call)
        1    0.000    0.000    0.000    0.000 engine_api_resource.py:21(class_url)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1667(set_cookie)
       12    0.000    0.000    0.000    0.000 threading.py:306(__exit__)
        1    0.000    0.000    0.000    0.000 timeout.py:172(from_float)
        1    0.000    0.000    0.000    0.000 models.py:572(prepare_content_length)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        4    0.000    0.000    0.000    0.000 traversal.py:113(<lambda>)
       20    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        3    0.000    0.000    0.000    0.000 threading.py:281(__init__)
        7    0.000    0.000    0.000    0.000 threading.py:122(RLock)
        4    0.000    0.000    0.000    0.000 copy.py:62(copy)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       11    0.000    0.000    0.000    0.000 queue.py:309(_put)
       23    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 timeout.py:130(_validate_timeout)
       12    0.000    0.000    0.000    0.000 retry.py:242(<genexpr>)
        1    0.000    0.000    0.000    0.000 utils.py:514(_parse_content_type_header)
        4    0.000    0.000    0.000    0.000 util.py:101(convert_to_openai_object)
        1    0.000    0.000    0.000    0.000 client.py:396(_check_close)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        3    0.000    0.000    0.000    0.000 contextlib.py:136(__enter__)
        1    0.000    0.000    0.000    0.000 socket.py:694(__init__)
        1    0.000    0.000    0.000    0.000 platform.py:1244(python_version)
        4    0.000    0.000    0.000    0.000 <frozen _collections_abc>:827(items)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 socket.py:507(detach)
       19    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 client.py:430(close)
       17    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       23    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        8    0.000    0.000    0.000    0.000 traversal.py:239(lazy_last)
        1    0.000    0.000    0.000    0.000 {method '_set_alpn_protocols' of '_ssl._SSLContext' objects}
        3    0.000    0.000    0.000    0.000 contextlib.py:108(__init__)
       11    0.000    0.000    0.000    0.000 <frozen os>:779(check_str)
       18    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'getpeername' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 response.py:252(put)
        1    0.000    0.000    0.000    0.000 response.py:1092(closed)
       12    0.000    0.000    0.000    0.000 queue.py:306(_qsize)
        1    0.000    0.000    0.000    0.000 parse.py:536(urlunsplit)
       10    0.000    0.000    0.000    0.000 client.py:1066(_output)
        2    0.000    0.000    0.000    0.000 feedparser.py:123(pushlines)
       10    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {function SocketIO.close at 0x000001DF8F64E7A0}
        1    0.000    0.000    0.000    0.000 response.py:450(_init_decoder)
        1    0.000    0.000    0.000    0.000 sessions.py:107(get_redirect_target)
        4    0.000    0.000    0.000    0.000 util.py:47(_console_log_level)
        8    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 {method 'setsockopt' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 feedparser.py:71(close)
        2    0.000    0.000    0.000    0.000 cookies.py:358(update)
        1    0.000    0.000    0.000    0.000 weakref.py:568(__init__)
        1    0.000    0.000    0.000    0.000 _collections.py:100(__setitem__)
        1    0.000    0.000    0.000    0.000 feedparser.py:54(__init__)
        1    0.000    0.000    0.000    0.000 utils.py:135(super_len)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1734(clear_expired_cookies)
        1    0.000    0.000    0.000    0.000 {method 'getsockopt' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
